# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
3.319270000000000209e+02 1.169773941222688631e-05 1.630451410831936727e-05 2.572551170246825157e-05
3.444089999999999918e+02 1.203065168215521511e-05 1.674146727662350012e-05 2.635205365077286153e-05
3.573600000000000136e+02 1.237308316431030425e-05 1.719017213582430833e-05 2.699425396208264894e-05
3.707989999999999782e+02 1.272606531889401594e-05 1.765224593128502406e-05 2.765400703219846230e-05
3.847429999999999950e+02 1.309732579420292212e-05 1.814063120931129608e-05 2.835285580816872879e-05
3.992110000000000127e+02 1.347946742987815186e-05 1.864256543084003665e-05 2.906925276141418104e-05
4.142230000000000132e+02 1.387276159984848784e-05 1.915843134176858616e-05 2.980409080442361294e-05
4.298000000000000114e+02 1.428558314112356581e-05 1.970371404098737617e-05 3.058506308251196466e-05
4.459630000000000223e+02 1.471120453102235605e-05 2.026550732557582949e-05 3.138823017894089480e-05
4.627330000000000041e+02 1.514950334313485391e-05 2.084325463680694051e-05 3.221255410485598193e-05
4.801340000000000146e+02 1.560449067352693051e-05 2.144744730147826975e-05 3.308096873501003090e-05
4.981899999999999977e+02 1.607406674349265907e-05 2.207161713121413515e-05 3.397833470344854948e-05
5.169239999999999782e+02 1.655778538339880611e-05 2.271392659478959567e-05 3.489999781108610197e-05
5.363630000000000564e+02 1.705714388648923679e-05 2.338159410316144722e-05 3.586540157832869211e-05
5.565330000000000155e+02 1.757207187742586298e-05 2.407217153446949932e-05 3.686673806624390692e-05
5.774619999999999891e+02 1.810269131990311148e-05 2.478323759094592694e-05 3.789616016515636994e-05
5.991770000000000209e+02 1.864691654705224089e-05 2.551695065010554215e-05 3.896598362107854611e-05
6.217089999999999463e+02 1.920547491641083409e-05 2.627398336190672889e-05 4.007617973587148421e-05
6.450879999999999654e+02 1.978081741554012216e-05 2.705352013120591764e-05 4.121810681838043901e-05
6.693469999999999800e+02 2.036955544127246870e-05 2.785503142959676234e-05 4.239908254231347748e-05
6.945180000000000291e+02 2.096987674429399168e-05 2.867845639027425523e-05 4.362334332450094844e-05
7.206349999999999909e+02 2.158782793844976150e-05 2.952618349347060943e-05 4.488287450246034315e-05
7.477350000000000136e+02 2.221944542128511695e-05 3.039569451419490948e-05 4.618024540521379099e-05
7.758529999999999518e+02 2.285639787324224596e-05 3.128142709392097380e-05 4.751832359627743379e-05
8.050289999999999964e+02 2.351181872046261305e-05 3.219306432385845646e-05 4.889533803472439675e-05
8.353020000000000209e+02 2.418254604334444465e-05 3.312831364609736034e-05 5.031129851812472272e-05
8.667140000000000555e+02 2.485039907455582550e-05 3.407114960971440078e-05 5.176157054077042510e-05
8.993070000000000164e+02 2.553673723538602794e-05 3.504081978302545617e-05 5.325365984970922839e-05
9.331250000000000000e+02 2.624197716365440995e-05 3.603799607588858734e-05 5.478864697864704593e-05
9.682150000000000318e+02 2.693151474691304933e-05 3.702803242041276813e-05 5.634257723524562221e-05
1.004629999999999995e+03 2.763966611703588334e-05 3.804580416343767546e-05 5.794124414973945395e-05
1.042400000000000091e+03 2.836574663091755025e-05 3.909053516706981896e-05 5.958371646394919888e-05
1.081599999999999909e+03 2.907342083198228297e-05 4.012369125896836228e-05 6.123763743142496870e-05
1.122279999999999973e+03 2.979327789686963022e-05 4.117838136406606355e-05 6.293236574032429729e-05
1.164480000000000018e+03 3.053053174652369922e-05 4.226006724453901009e-05 6.467325843869147688e-05
1.208269999999999982e+03 3.124523985186970559e-05 4.332270801211370243e-05 6.641235471380014881e-05
1.253710000000000036e+03 3.196163802204449970e-05 4.439514182177500416e-05 6.818035472662161269e-05
1.300849999999999909e+03 3.269407851293516256e-05 4.549328466581027176e-05 6.999470686811743261e-05
1.349769999999999982e+03 3.340591778168248982e-05 4.657438937163873704e-05 7.180721332985528517e-05
1.400529999999999973e+03 3.410845233133396860e-05 4.765111459457873483e-05 7.363209515104359511e-05
1.453200000000000045e+03 3.482561492254040411e-05 4.875249756016223729e-05 7.550409913748553443e-05
1.507849999999999909e+03 3.552155901901828512e-05 4.983425640557952559e-05 7.736735084611413046e-05
1.564549999999999955e+03 3.618942754756236506e-05 5.088738671963758439e-05 7.921134741192183289e-05
1.623380000000000109e+03 3.686975202218385994e-05 5.196215903702563614e-05 8.109867298963460312e-05
1.684430000000000064e+03 3.753648884944322628e-05 5.302648239003728161e-05 8.298793375027460747e-05
1.747769999999999982e+03 3.816059232689220657e-05 5.404202572371630411e-05 8.482985460962231075e-05
1.813500000000000000e+03 3.879541437883664057e-05 5.507749116436473543e-05 8.671351775793288978e-05
1.881690000000000055e+03 3.942108445912894792e-05 5.610674316978550487e-05 8.860282961076333620e-05
1.952460000000000036e+03 3.997880835019255091e-05 5.705145590865730239e-05 9.039153195129716171e-05
2.025880000000000109e+03 4.054394226932435581e-05 5.801141096023809321e-05 9.221557722514444287e-05
2.102059999999999945e+03 4.111092503338564921e-05 5.897918331154575807e-05 9.406446109552920286e-05
2.181110000000000127e+03 4.159595431512803064e-05 5.984067500229872828e-05 9.577571271844425010e-05
2.263130000000000109e+03 4.208659722956562357e-05 6.071463118930908666e-05 9.751743687481466665e-05
2.348230000000000018e+03 4.258289700938992295e-05 6.160115870794950115e-05 9.929026407595127114e-05
2.436539999999999964e+03 4.298152732409727799e-05 6.235578784060794618e-05 1.008805688465876825e-04
2.528170000000000073e+03 4.337609774099708516e-05 6.310870516624220454e-05 1.024808037574346403e-04
2.623239999999999782e+03 4.377403077106800362e-05 6.387041236505194592e-05 1.041050284063482171e-04
2.721880000000000109e+03 4.409135235975453513e-05 6.452015571167616368e-05 1.055671986921341712e-04
2.824239999999999782e+03 4.438961868961302791e-05 6.514560630636854230e-05 1.070019844107069495e-04
2.930449999999999818e+03 4.468989602182861796e-05 6.577727931668390828e-05 1.084562749423616089e-04
3.040650000000000091e+03 4.491551340227025412e-05 6.630205171982197761e-05 1.097497273040099819e-04
3.154989999999999782e+03 4.510284035158350905e-05 6.677283683166706206e-05 1.109650945590975234e-04
3.273630000000000109e+03 4.529091032855539749e-05 6.724691861331190922e-05 1.121938732603244458e-04
3.396739999999999782e+03 4.542316360959847317e-05 6.763870534254769337e-05 1.132931277747564882e-04
3.524469999999999800e+03 4.550458327909018497e-05 6.795509835636823876e-05 1.142724612363217796e-04
3.657010000000000218e+03 4.558649823794930450e-05 6.827308064845457756e-05 1.152609367210255526e-04
3.794530000000000200e+03 4.562466005198475080e-05 6.852478094230817223e-05 1.161408953789096156e-04
3.937230000000000018e+03 4.559577985142060906e-05 6.867302604515035510e-05 1.168469286280189221e-04
4.085289999999999964e+03 4.556684854153528533e-05 6.882120508273161007e-05 1.175566506663726666e-04
4.238909999999999854e+03 4.551169203931234214e-05 6.892801080024344568e-05 1.181957303690842385e-04
4.398319999999999709e+03 4.538172107859480853e-05 6.891561861803915923e-05 1.186229278990317301e-04
4.563720000000000255e+03 4.525204286929616605e-05 6.890272956743517709e-05 1.190514821201151343e-04
4.735329999999999927e+03 4.511042726728565935e-05 6.887000392555200478e-05 1.194439701539780146e-04
4.913409999999999854e+03 4.488359331528419524e-05 6.869658543964433451e-05 1.195760844925224028e-04
5.098180000000000291e+03 4.465786280465012316e-05 6.852366020399074120e-05 1.197075661829378519e-04
5.289890000000000327e+03 4.443306098868855922e-05 6.835064012638998588e-05 1.198393502113680864e-04
5.488819999999999709e+03 4.412284044598893521e-05 6.803309716771176055e-05 1.196901207917021895e-04
5.695229999999999563e+03 4.381382769324466725e-05 6.771484668064311314e-05 1.195378812545715993e-04
5.909399999999999636e+03 4.350693869408125936e-05 6.739868061519328139e-05 1.193861673750695724e-04
6.131619999999999891e+03 4.313367172898114959e-05 6.696505318803632530e-05 1.189977146294669705e-04
6.362199999999999818e+03 4.275212390651216639e-05 6.651465824166928132e-05 1.185707287300928554e-04
6.601449999999999818e+03 4.237397139731317587e-05 6.606704609436664843e-05 1.181448893273634459e-04
6.849699999999999818e+03 4.194797040872175924e-05 6.553267856194209108e-05 1.175359316433342480e-04
7.107279999999999745e+03 4.150658673727429770e-05 6.496791165106438907e-05 1.168579594752894714e-04
7.374550000000000182e+03 4.106993748328824036e-05 6.440810397631472446e-05 1.161844181965391903e-04
7.651869999999999891e+03 4.060203257264538850e-05 6.378830880365728010e-05 1.153759140941915606e-04
7.939619999999999891e+03 4.011444216567374734e-05 6.312903536394762183e-05 1.144769461645522444e-04
8.238190000000000509e+03 3.963278326109647407e-05 6.247660639965316404e-05 1.135839108803125423e-04
8.547979999999999563e+03 3.913240447145013845e-05 6.178626860832379659e-05 1.126009165505012933e-04
8.869430000000000291e+03 3.860928790648901645e-05 6.105015937910291248e-05 1.115104091901772604e-04
9.202969999999999345e+03 3.809323422294333682e-05 6.032279180778896203e-05 1.104303270826832018e-04
9.549040000000000873e+03 3.757003442275726185e-05 5.957765216070749927e-05 1.093010713062787147e-04
9.908139999999999418e+03 3.702443565127008047e-05 5.878584885767368698e-05 1.080570173231576100e-04
1.028070000000000073e+04 3.648642018149272459e-05 5.800409141891135664e-05 1.068262667401950056e-04
1.066729999999999927e+04 3.594952662631595102e-05 5.721970396587670985e-05 1.055794904880454158e-04
1.106850000000000000e+04 3.538956695506776225e-05 5.638747288224951282e-05 1.042142055400471155e-04
1.148470000000000073e+04 3.483781898779792700e-05 5.556634332934237599e-05 1.028647903137341028e-04
1.191660000000000036e+04 3.429357170050406764e-05 5.475493795189529517e-05 1.015270363519862868e-04
1.236470000000000073e+04 3.372931995889613091e-05 5.389945670114596317e-05 1.000756298967298344e-04
1.282970000000000073e+04 3.317439505971456751e-05 5.305796798950652727e-05 9.864577608564652797e-05
1.331220000000000073e+04 3.262895711084453179e-05 5.222979935943619146e-05 9.723670668462734939e-05
1.381279999999999927e+04 3.206821780491449708e-05 5.136763709806998335e-05 9.573820219315665105e-05
1.433220000000000073e+04 3.151502053129979022e-05 5.051546005564291398e-05 9.425234675646278182e-05
1.487120000000000073e+04 3.097157767146835084e-05 4.967796326477450994e-05 9.279079418547644053e-05
1.543039999999999964e+04 3.042181514769621518e-05 4.882321718867796141e-05 9.127598075603765820e-05
1.601060000000000036e+04 2.987742758670176545e-05 4.797411896345353424e-05 8.976496506525922267e-05
1.661270000000000073e+04 2.934308563656474428e-05 4.714017548058967356e-05 8.827955017434107557e-05
1.723740000000000146e+04 2.880719506485118761e-05 4.629908670664607280e-05 8.676639209094210033e-05
1.788570000000000073e+04 2.827551737915591187e-05 4.546173299109918371e-05 8.525211004361967317e-05
1.855829999999999927e+04 2.775337684999335650e-05 4.463916707797626157e-05 8.376346563377981536e-05
1.925609999999999854e+04 2.723412407179887619e-05 4.381774979814393990e-05 8.226716779327360965e-05
1.998029999999999927e+04 2.671886918731728185e-05 4.299960984975045126e-05 8.076798756442592805e-05
2.073159999999999854e+04 2.621297750004785367e-05 4.219615832606623369e-05 7.929441769638105380e-05
2.151120000000000073e+04 2.571279583368266296e-05 4.139983728998779846e-05 7.782907218422152097e-05
2.232020000000000073e+04 2.521570217596019717e-05 4.060555395211461573e-05 7.635892126858861387e-05
2.315950000000000000e+04 2.472790179077619384e-05 3.982616048185533817e-05 7.491565420200918491e-05
2.403040000000000146e+04 2.424773696396310811e-05 3.905784316776371987e-05 7.348988332669473549e-05
2.493409999999999854e+04 2.377096215331941714e-05 3.829208144897507229e-05 7.206076630674810289e-05
2.587170000000000073e+04 2.330338604225043665e-05 3.754118368057595605e-05 7.065887669522437841e-05
2.684459999999999854e+04 2.284444695103083616e-05 3.680358506802062856e-05 6.928104736790009191e-05
2.785409999999999854e+04 2.238855996156724034e-05 3.606871520619381663e-05 6.790078571380396620e-05
2.890159999999999854e+04 2.194199134607480899e-05 3.534864471108195967e-05 6.654827573525625632e-05
2.998840000000000146e+04 2.150408644018091312e-05 3.464259402492702385e-05 6.522234447096896795e-05
3.111620000000000073e+04 2.107031415536496393e-05 3.394118944889522343e-05 6.389869798482081026e-05
3.228629999999999927e+04 2.064506149078186031e-05 3.325348745315173779e-05 6.260064576682245223e-05
3.350040000000000146e+04 2.022849728346968565e-05 3.257979823498637106e-05 6.132906414936657280e-05
3.476019999999999709e+04 1.981675368842984072e-05 3.191292152448753903e-05 6.006641562406105718e-05
3.606730000000000291e+04 1.941290227790543226e-05 3.125823669496967941e-05 5.882635547230766524e-05
3.742369999999999709e+04 1.901737531223389845e-05 3.061727209326115234e-05 5.761251603850040014e-05
3.883100000000000000e+04 1.862765506430738997e-05 2.998498742393738073e-05 5.641240142640235373e-05
4.029119999999999709e+04 1.824505610757290867e-05 2.936385779851794688e-05 5.523267033059432523e-05
4.180640000000000146e+04 1.787037902353472244e-05 2.875564960508352578e-05 5.407780126509874270e-05
4.337850000000000000e+04 1.750197993977367191e-05 2.815721846244328687e-05 5.293986776102396226e-05
4.500980000000000291e+04 1.714019851364649856e-05 2.756923984718248272e-05 5.182099695471881380e-05
4.670230000000000291e+04 1.678576234096268137e-05 2.699337540709205387e-05 5.072529124707605725e-05
4.845859999999999854e+04 1.643799167298594494e-05 2.642809035856888197e-05 4.964925812897790771e-05
5.028090000000000146e+04 1.609639059862045729e-05 2.587254035563986394e-05 4.859043263917569937e-05
5.217169999999999709e+04 1.576191116723400321e-05 2.532861666633742166e-05 4.755432367660540795e-05
5.413359999999999854e+04 1.543390427067600109e-05 2.479527919938675698e-05 4.653831940157008705e-05
5.616930000000000291e+04 1.511173961997448972e-05 2.427114725078097083e-05 4.553883713083917324e-05
5.828150000000000000e+04 1.479628591325162145e-05 2.375802596343122919e-05 4.456071961754576918e-05
6.047319999999999709e+04 1.448727935703641369e-05 2.325548684993574227e-05 4.360280828304849773e-05
6.274730000000000291e+04 1.418383923975306669e-05 2.276170695677322031e-05 4.266092881771206156e-05
6.510690000000000146e+04 1.388673220378930976e-05 2.227841090356502124e-05 4.173940094302799300e-05
6.755530000000000291e+04 1.359580281244001832e-05 2.180536373174781436e-05 4.083767179636594121e-05
7.009569999999999709e+04 1.331018056352797931e-05 2.134073801996204015e-05 3.995126480169245234e-05
7.273169999999999709e+04 1.303064684899426498e-05 2.088597864224409694e-05 3.908419483386861652e-05
7.546669999999999709e+04 1.275689247133643482e-05 2.044092217624795556e-05 3.823577967140100441e-05
7.830469999999999709e+04 1.248828267015164554e-05 2.000420522988844614e-05 3.740307410658673306e-05
8.124930000000000291e+04 1.222534097216321271e-05 1.957664176059473971e-05 3.658797709467529819e-05
8.430469999999999709e+04 1.196791869750971284e-05 1.915821701233854477e-05 3.579075195477229458e-05
8.747500000000000000e+04 1.171553705135583064e-05 1.874803542910582024e-05 3.500910396442058524e-05
9.076450000000000000e+04 1.146836966209398977e-05 1.834632858067592967e-05 3.424392761836635369e-05
9.417769999999999709e+04 1.122642578761713999e-05 1.795325247421899348e-05 3.349544077800638986e-05
9.771919999999999709e+04 1.098933294961017454e-05 1.756819680842308963e-05 3.276202133114430507e-05
1.013940000000000000e+05 1.075713115582288354e-05 1.719106802360377036e-05 3.204410236307905926e-05
1.052070000000000000e+05 1.052985084833191682e-05 1.682209447704796623e-05 3.134195611234029801e-05
1.091630000000000000e+05 1.030715064507798693e-05 1.646062133261285744e-05 3.065431626284908834e-05
1.132680000000000000e+05 1.008907907905799689e-05 1.610671535767840563e-05 2.998108276131309516e-05
1.175280000000000000e+05 9.875735935114817612e-06 1.576060824099106302e-05 2.932312525531483147e-05
1.219470000000000000e+05 9.666629250693580994e-06 1.542144306865610517e-05 2.867856774799815988e-05
1.265330000000000000e+05 9.461925311175794920e-06 1.508951827464999881e-05 2.804788643221803085e-05
1.312910000000000000e+05 9.261506568428166974e-06 1.476465580785030223e-05 2.743078227398989562e-05
1.362290000000000000e+05 9.065443623832734196e-06 1.444691822637810996e-05 2.682759429694016684e-05
1.413520000000000000e+05 8.873312990748957681e-06 1.413567238526258458e-05 2.623678077264633888e-05
1.466670000000000000e+05 8.685189031870732079e-06 1.383098627436721439e-05 2.565876738542514324e-05
1.521830000000000000e+05 8.501168002892675100e-06 1.353303645064490351e-05 2.509384202829287072e-05
1.579050000000000000e+05 8.320806836410848928e-06 1.324105825368234542e-05 2.454034225786465355e-05
1.638430000000000000e+05 8.144344645935725930e-06 1.295552532745629152e-05 2.399929323964986619e-05
1.700050000000000000e+05 7.971676204131248521e-06 1.267624484992718707e-05 2.347040464850912495e-05
1.763980000000000000e+05 7.802550430186417998e-06 1.240277327240469508e-05 2.295253181677320582e-05
1.830310000000000000e+05 7.636967841647282696e-06 1.213506645576206797e-05 2.244602606753742262e-05
1.899140000000000000e+05 7.474934670010266866e-06 1.187328546855982664e-05 2.195076808178013906e-05
1.970560000000000000e+05 7.316291537015056699e-06 1.161702231566858731e-05 2.146626375802953077e-05
2.044660000000000000e+05 7.160998564496938989e-06 1.136621552609259797e-05 2.099228391532642442e-05
2.121550000000000000e+05 7.008996108253981141e-06 1.112084918028957473e-05 2.052882024286677582e-05
2.201330000000000000e+05 6.860194175458164064e-06 1.088072564995950118e-05 2.007543242102926485e-05
2.284110000000000000e+05 6.714537709225425258e-06 1.064579168093686851e-05 1.963198240776028709e-05
2.370010000000000000e+05 6.572011014212167635e-06 1.041589769841396067e-05 1.919842515618763479e-05
2.459130000000000000e+05 6.432450897090717125e-06 1.019096272337439948e-05 1.877422417619568345e-05
2.551610000000000000e+05 6.295874156468540506e-06 9.970846394358733541e-06 1.835947337721402958e-05
2.647560000000000000e+05 6.162164053712447031e-06 9.755462852113389285e-06 1.795377600885028318e-05
2.747120000000000000e+05 6.031293195134354831e-06 9.544721163166829144e-06 1.755699059641072202e-05
2.850430000000000000e+05 5.903232073609779293e-06 9.338563038250350548e-06 1.716902535219052219e-05
2.957620000000000000e+05 5.777859849602752588e-06 9.136815523978692366e-06 1.678955756514735690e-05
3.068840000000000000e+05 5.655135711392179557e-06 8.939430630397548832e-06 1.641840186856632517e-05
3.184240000000000000e+05 5.535009103698648907e-06 8.746267457631565150e-06 1.605545262579461034e-05
3.303990000000000000e+05 5.417479674148451812e-06 8.557337031280403029e-06 1.570060720685442009e-05
3.428230000000000000e+05 5.302387566758979896e-06 8.372427170518850634e-06 1.535347142084322948e-05
3.557150000000000000e+05 5.189775311220291848e-06 8.191529832045465397e-06 1.501406901244876800e-05
3.690920000000000000e+05 5.079556411018240850e-06 8.014567815334137690e-06 1.468219025556968696e-05
3.829710000000000000e+05 4.971643993938021009e-06 7.841385105809083831e-06 1.435755248247490149e-05
3.973730000000000000e+05 4.866056223395954871e-06 7.671985123440155498e-06 1.404017458718131512e-05
4.123160000000000000e+05 4.762702416175103337e-06 7.506213169782038455e-06 1.372978358608284045e-05
4.278210000000000000e+05 4.661551276247205128e-06 7.344017339295397462e-06 1.342622548070845199e-05
4.439100000000000000e+05 4.562556850104915316e-06 7.185373130349515861e-06 1.312944903658059072e-05
4.606030000000000000e+05 4.465636975932003953e-06 7.030135050258948687e-06 1.283920434855100672e-05
4.779240000000000000e+05 4.370814791738429469e-06 6.878254099250993973e-06 1.255537297328237643e-05
4.958960000000000000e+05 4.277975304001039039e-06 6.729639021869818031e-06 1.227780947441116404e-05
5.145440000000000000e+05 4.187113624853962928e-06 6.584279734447340304e-06 1.200637244899303172e-05
5.338940000000000000e+05 4.098201653634730026e-06 6.442025332206269777e-06 1.174100751492578144e-05
5.539710000000000000e+05 4.011168329394845697e-06 6.302887037398886158e-06 1.148147609799969211e-05
5.748030000000000000e+05 3.925990567349713180e-06 6.166706390727018823e-06 1.122766288391491864e-05
5.964180000000000000e+05 3.842611055279630389e-06 6.033503029790688102e-06 1.097951148122429359e-05
6.188470000000000000e+05 3.761026230292494173e-06 5.903193761325343872e-06 1.073686412636802581e-05
6.421190000000000000e+05 3.681165067686304237e-06 5.775699575022121400e-06 1.049957770454698829e-05
6.662650000000000000e+05 3.602995082897007690e-06 5.650938971674606251e-06 1.026748506117469321e-05
6.913200000000000000e+05 3.526493100691240709e-06 5.528892386624977150e-06 1.004059648328692744e-05
7.173170000000000000e+05 3.451620555097877451e-06 5.409493092524642441e-06 9.818721070959570693e-06
7.442920000000000000e+05 3.378349551896373231e-06 5.292672689120744214e-06 9.601680726826403964e-06
7.722810000000000000e+05 3.306623256514786713e-06 5.178381154026415863e-06 9.389544535243532066e-06
8.013230000000000000e+05 3.236429313715365037e-06 5.066563678246108462e-06 9.182097236831358885e-06
8.314570000000000000e+05 3.167728417966040473e-06 4.957167533033302387e-06 8.979224506593601641e-06
8.627240000000000000e+05 3.100484145361037823e-06 4.850132491747356404e-06 8.780841373434454113e-06
8.951660000000000000e+05 3.034671303323814889e-06 4.745419441067013887e-06 8.586848651781310896e-06
9.288290000000000000e+05 2.970262480901367589e-06 4.642975443512127365e-06 8.397163793702021854e-06
9.637580000000000000e+05 2.907214164539302080e-06 4.542738330479518543e-06 8.211665608158199762e-06
1.000000000000000000e+06 2.845518157560999891e-06 4.444676793916783543e-06 8.030298007946030855e-06
