# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
6.818159999999999499e-02 3.305226450945905278e-11 3.467238150542502829e-11 3.684412880716492634e-11
7.074560000000000570e-02 3.561761776216326294e-11 3.736345767447463760e-11 3.970390310073668537e-11
7.340599999999999903e-02 3.838541760398651988e-11 4.026687253181063388e-11 4.278914827421724349e-11
7.616639999999999522e-02 4.137180081593663690e-11 4.339960388872603313e-11 4.611816978127995425e-11
7.903069999999999540e-02 4.459453446001907973e-11 4.678033480721318134e-11 4.971056948563110173e-11
8.200259999999999494e-02 4.807272937984727003e-11 5.042901697959620908e-11 5.358782060651601965e-11
8.508630000000000360e-02 5.182709877609567833e-11 5.436756792246664260e-11 5.777308084607666713e-11
8.828600000000000336e-02 5.588036220270712391e-11 5.861940674687397003e-11 6.229124337006145081e-11
9.160600000000000687e-02 6.025671996822670075e-11 6.321024826538065466e-11 6.716961225808439143e-11
9.505080000000000473e-02 6.498249432043251160e-11 6.816758426666599162e-11 7.243756286208464770e-11
9.862519999999999620e-02 7.008639552124732689e-11 7.352190001430817601e-11 7.812711773778927403e-11
1.023339999999999944e-01 7.518495093172174717e-11 7.888933205695030010e-11 8.385567678074580146e-11
1.061819999999999986e-01 8.039736557169866748e-11 8.439148313911112729e-11 8.974669637292488535e-11
1.101749999999999952e-01 8.598155952094977914e-11 9.028820034996508628e-11 9.606341679775234066e-11
1.143180000000000029e-01 9.195488633384905427e-11 9.659889639294461853e-11 1.028275385406584921e-10
1.186170000000000002e-01 9.834428455055119923e-11 1.033527909875794300e-10 1.100716272991065997e-10
1.230780000000000068e-01 1.051915852443504628e-10 1.105937535013461344e-10 1.178414499187887780e-10
1.277059999999999862e-01 1.125235326712845317e-10 1.183508840330676599e-10 1.261702709000921663e-10
1.325089999999999879e-01 1.203725237623988605e-10 1.266592718009907863e-10 1.350970134128506568e-10
1.374920000000000031e-01 1.287860961643933293e-10 1.355694472004895819e-10 1.446748986995148233e-10
1.426620000000000110e-01 1.378021684217210162e-10 1.451216462543748330e-10 1.549484058740259401e-10
1.480269999999999919e-01 1.474509280781253329e-10 1.553504375116038923e-10 1.659581260787634710e-10
1.535930000000000073e-01 1.577986365527942325e-10 1.663248095412242791e-10 1.777764172437926916e-10
1.593690000000000107e-01 1.688968431235527365e-10 1.781005387791226836e-10 1.904645679132027826e-10
1.653620000000000090e-01 1.807723442084126489e-10 1.907091844224046142e-10 2.040608454315626993e-10
1.715810000000000113e-01 1.935158363862515682e-10 2.042454938357203945e-10 2.186652806653417388e-10
1.780329999999999968e-01 2.071914062434573825e-10 2.187783859539037367e-10 2.343531986548926638e-10
1.847280000000000033e-01 2.218024726607353083e-10 2.343174114515106016e-10 2.511441350263384523e-10
1.916750000000000120e-01 2.374831619140892219e-10 2.510018508720147655e-10 2.691828461704731834e-10
1.988830000000000042e-01 2.543186928774031951e-10 2.689235519785237246e-10 2.885698690944648664e-10
2.063619999999999899e-01 2.723184157541924368e-10 2.880999317011232095e-10 3.093349081560390623e-10
2.141220000000000068e-01 2.916293388255577596e-10 3.086847531788862451e-10 3.316394930665239743e-10
2.221740000000000104e-01 3.123717569167634283e-10 3.308060519520443994e-10 3.556229450597198514e-10
2.305290000000000117e-01 3.344633158799554418e-10 3.543915987932001964e-10 3.812279618345726513e-10
2.391979999999999940e-01 3.580951925952480607e-10 3.796417513725401014e-10 4.086666025706855392e-10
2.481929999999999970e-01 3.834779145878961584e-10 4.067770159292392476e-10 4.381729925690171484e-10
2.575259999999999772e-01 4.107275541837177024e-10 4.359272901294944400e-10 4.698947735221666551e-10
2.672109999999999763e-01 4.399943910307228376e-10 4.672556025484101267e-10 5.040131036411328949e-10
2.772589999999999777e-01 4.714516956763850317e-10 5.009458189064497594e-10 5.407282227679229165e-10
